/juice/scr/aharris6/data_processed_coraal/wav/DCB_se1_ag2_m_01_1_part_193.wav,/juice/scr/aharris6/data_processed_coraal/txt/DCB_se1_ag2_m_01_1_part_193.txt,DC WELL DC P DC PEOPLE LIKE THEY LIKE TO SAY MO AND BOB,1,DC? Well DC p- DC people like they like to say Mo and Bob.,5.3439999999999985
/juice/scr/aharris6/data_processed_coraal/wav/PRV_se0_ag1_f_01_1_part_28.wav,/juice/scr/aharris6/data_processed_coraal/txt/PRV_se0_ag1_f_01_1_part_28.txt,UNINTELLIGIBLE AND THE NEXT DAY THEN LIKE TOWARDS THE NIGHT TIME UM MY UM UNCLE'S WIFE SHE'S VERY CLOSE FRIEND OF UM OUR MAYOR'S UM STEP DAUGHTER,1,"/Unintelligible/ and the next day then like, towards the night time um, my um, uncle's wife, she's very close friend of um, our mayor's um, step daughter.",9.647
/juice/scr/aharris6/data_processed_coraal/wav/DCB_se1_ag3_m_01_1_part_68.wav,/juice/scr/aharris6/data_processed_coraal/txt/DCB_se1_ag3_m_01_1_part_68.txt,TERRIBLE BUT YEAH THE OWNER DOESN'T SEE THAT AND NOW THIS INTERVIEW IS GETTING DEPRESSING SO UM,1,"terrible. But yeah, the owner doesn't see that, and now this interview is getting depressing, so- [<ts> Um]",10.311
/juice/scr/aharris6/data_processed_coraal/wav/ROC_se0_ag1_f_01_1_part_16.wav,/juice/scr/aharris6/data_processed_coraal/txt/ROC_se0_ag1_f_01_1_part_16.txt,TO ALABAMA AND THEN MY FATHER'S MOM WATCHED ME AND AS I GOT OLDER YOU KNOW I GOT BORED AT MY GRANDMA'S HOUSE SO I STARTED GOING TO MY AUNT'S HOUSE SO,1,"to Alabama, and then my father's mom watched me. And as I got older, you know, I got bored at my grandma's house, so I started going to my aunt's house, so",7.879
/juice/scr/aharris6/data_processed_coraal/wav/PRV_se0_ag3_m_01_2_part_52.wav,/juice/scr/aharris6/data_processed_coraal/txt/PRV_se0_ag3_m_01_2_part_52.txt,PUT IT IN A CHORD PUT THE FOUR PARTS IN A CHORD FULL CHORD AND THEY WOULD REDO ONLY YOU AND IT WAS ALL OVER,1,"put it in a chord, put the four parts in a chord, full chord, and they would redo Only You. <laugh> And it was all over.",10.691
/juice/scr/aharris6/data_processed_coraal/wav/ROC_se0_ag2_f_04_1_part_20.wav,/juice/scr/aharris6/data_processed_coraal/txt/ROC_se0_ag2_f_04_1_part_20.txt,UM BECAUSE OF MY HUSBAND'S FAMILY STRONG UH BACKGROUND SO FOR MY CHILDREN WE'VE NEVER BEEN TO SOUTH CAROLINA UM BUT I'M REALLY INTERESTED IN GEECHEE AND GULLAH CULTURE AND I SOMETHING I FOCUS ON IN MY CLASSROOMS AND UM AND MY CHILDREN'S UH EXPERIENCES AS THEY'VE GROWING UP AND I JUST I REALLY COULD SEE MYSELF VISITING SOUTH CAROLINA ON A MORE REGULAR BASIS,1,"um, because of my husband's family strong, uh, background. So for my children, we've never been to South Carolina. Um, but I'm really interested in Geechee and Gullah culture, and I- something I focus on in my classrooms and, um, and my children's, uh, experiences as they've growing up, and I just- I really could see myself visiting South Carolina on a more regular basis.",20.231
/juice/scr/aharris6/data_processed_coraal/wav/DCB_se2_ag4_f_04_1_part_252.wav,/juice/scr/aharris6/data_processed_coraal/txt/DCB_se2_ag4_f_04_1_part_252.txt,UM MM PROBABLY WOULD HAVE TO BE THE STATUE OF MARTIN LUTHER KING THAT IS SURREAL IT IT IT JUST,1,"<ts> Um, mm. <ts> Probably would have to be the statue of Martin Luther King. That is surreal. It- it- it just-",13.925999999999998
/juice/scr/aharris6/data_processed_coraal/wav/DCB_se2_ag3_f_01_1_part_10.wav,/juice/scr/aharris6/data_processed_coraal/txt/DCB_se2_ag3_f_01_1_part_10.txt,WHICH WAS GOOD BECAUSE IT ALLOWED US TO BE KIND OF INTERACTIVE IN THE SCHOOLS AS A COMMUNITY AND ALSO FOR THE PARENTS WAS KNOWN FOR UM ACTUALLY OUR BASEBALL WHICH IS WHERE I MET MY MY HUSBAND MY EX HUSBAND SO WE WERE LIKE A GREAT BASEBALL TEAM THAT'S PRETTY MUCH IT AS FAR AS WE DIDN'T HAVE LIKE A HUGE REPUTATION,1,"which was good because it allowed us to be kind of interactive in the schools as a community and also for the parents. /RD-SCHOOL-4/ was known for, um, actually our baseball, which is where I met my- my husband, /RD-NAME-3/- my ex-husband, /RD-NAME-5/. So we were like a great baseball team. That's pretty much it, as far as /RD-SCHOOL-2/. We didn't have like a huge reputation",20.406
/juice/scr/aharris6/data_processed_coraal/wav/ROC_se0_ag3_f_02_1_part_99.wav,/juice/scr/aharris6/data_processed_coraal/txt/ROC_se0_ag3_f_02_1_part_99.txt,OH THEY W HAD A BIG COOKOUT HONORING THEIR MOTHER'S DEATH AND IT'S BEEN TWO YEARS AND THEY UM THEY INVITED JUST ABOUT EVERYBODY THEY KNEW SO UM BUT SOMETIMES WITH NO BABYSITTER I GUESS MY MOTHER WOULD L FEEL SORRY FOR ME,1,"[Oh], they w- had a big cookout honoring their mother's death. And it's been two years, and they- um, they invited just about everybody they knew. So, um, <ts> but sometimes with no babysitter, I guess my mother would l- feel sorry for me,",20.04
/juice/scr/aharris6/data_processed_coraal/wav/ROC_se0_ag2_f_01_1_part_205.wav,/juice/scr/aharris6/data_processed_coraal/txt/ROC_se0_ag2_f_01_1_part_205.txt,UM FROM THE CONSEQUENCES OF HER ACTIONS AND I LITTLE THINGS LIKE THAT I I HAVE LEARNED TO SEE AS PROGRESS AND THE SAME THING WHEN I WAS WORKING WITH PEOPLE WITH UM DEVELOPMENTAL DISABILITIES UM YOU KNOW PROGRESS COMES IN ALL SHAPES AND FORMS AND I'VE LEARNED TO LIKE NOT EXPECT SO MUCH UM SO FROM THAT JOB FROM THE I I'M IN MY CURRENT POSITION SO I WORK AT A BIRTH,1,"um, from the consequences <clears throat> of her actions and i- little things like that, I- I have learned to see as progress. And the same thing when I was working with people with, um, developmental disabilities. Um, you know, progress comes in all shapes and forms, and I've learned to like not expect so much. Um, so from that job, from the /RD-WORK-4/. I- I'm in my current position. So I work at a birth-",24.013
/juice/scr/aharris6/data_processed_coraal/wav/DCB_se1_ag2_f_02_1_part_174.wav,/juice/scr/aharris6/data_processed_coraal/txt/DCB_se1_ag2_f_02_1_part_174.txt,WHERE WHERE THEY SOMETIMES DO LIKE THE PIRATE SHIPS ON HALLOWEEN FOR THE LITTLE KIDS UM I CAN'T THINK OF THE NAME OF IT BUT THEY ALSO DO IT FOR ADULT I TOOK MY KIDS ON THERE CAUSE IT WAS LIKE GROUPON DEAL,1,"Where- where they sometimes do like the pirate ships on Halloween for the little kids. Um, I can't think of the name of it, but they also do it for adult- I took my kids on there cause it was like groupon deal.",8.479
/juice/scr/aharris6/data_processed_coraal/wav/ROC_se0_ag1_f_01_1_part_14.wav,/juice/scr/aharris6/data_processed_coraal/txt/ROC_se0_ag1_f_01_1_part_14.txt,NO I WAS REALLY FAMILY ORIENTED MY MOM UM,1,"[<ts>] [No, I was] really family oriented. My mom, um,",5.377000000000002
/juice/scr/aharris6/data_processed_coraal/wav/PRV_se0_ag3_f_02_1_part_115.wav,/juice/scr/aharris6/data_processed_coraal/txt/PRV_se0_ag3_f_02_1_part_115.txt,ONE OF THE UM MOTIONS WE MADE IN THE MEETING IS THAT THE DRUG HOUSES,1,"One of the um, motions we made in the meeting is that the drug houses",5.582000000000002
/juice/scr/aharris6/data_processed_coraal/wav/DCB_se1_ag3_f_03_1_part_104.wav,/juice/scr/aharris6/data_processed_coraal/txt/DCB_se1_ag3_f_03_1_part_104.txt,OH MAN WELL YOU KNOW CHUCK BROWN HE'S THE GODFATHER OF GO GO UM SO IT ALL STARTED WITH HIM BUT YOU KNOW THAT'S WHAT I GREW UP ON YOU KNOW THE GO GO MUSIC AND I DON'T KNOW I THINK IT'S JUST LIKE THE THE THE SOUND OF IT THE BEAT OF IT AND IT'S JUST LIKE WHEN WHEN YOU'RE TOGETHER,1,"Oh man, well, you know, Chuck Brown he's the godfather of go go. <ts> Um, so it all started with him. But, you know, that's what I grew up on, you know, the go go music. And I don't know, I think it's just like the- the- the sound of it, the beat of it. And it's just like when- when you're together",20.469
/juice/scr/aharris6/data_processed_coraal/wav/ROC_se0_ag2_f_02_1_part_40.wav,/juice/scr/aharris6/data_processed_coraal/txt/ROC_se0_ag2_f_02_1_part_40.txt,I LIKED IT WAS A NICE SCHOOL AND IT WAS IT WAS A MIX LIKE IT WAS IT'S A I THOUGHT IT WAS A MIX IT WAS JUST AS MANY BLACK KIDS AS IT WAS WHITE KIDS THE PROFESSORS WERE COOL THE CAMPUS WAS BIG IT WAS COLD AS HECK BUT THE CAMPUS WAS BIG IT WAS AN ADJUSTMENT FOR ME TO KNOW LIKE EVEN THOUGH YOU NOT AT HOME YOU GOTTA STILL DO YOUR WORK YOU GOTTA STILL DO STUFF IT WAS A BIT OF AN ADJUSTMENT,1,"I liked /RD-SCHOOL-2/. It was a nice school, and it was- it was a mix, like it was- it's a- I thought it was a mix. It was just as many black kids as it was white kids. The professors were cool. The campus was big. It was cold as heck, but the campus was big. It was an adjustment for me to know like, even though you not at home, you gotta still do your work, you gotta still do stuff. It was a bit of an adjustment.",24.454
/juice/scr/aharris6/data_processed_coraal/wav/PRV_se0_ag2_m_02_2_part_12.wav,/juice/scr/aharris6/data_processed_coraal/txt/PRV_se0_ag2_m_02_2_part_12.txt,YOU KNOW TO GET DIRECTLY INVOLVED WITH BUT UM UM YOU KNOW SO THERE WAS NO FACTORIES HERE SO YOU'RE AUTOMATICALLY INVOLVED IN OTHER AREAS OF COURSE YOU KNOW YOU DON'T HAVE YOUR OWN BUSINESSES,1,"you know, to get directly involved with but um, um, you know, so there was no factories here so you're automatically involved in other areas. [/Of course/] you know, you don't have your own businesses,",8.234
/juice/scr/aharris6/data_processed_coraal/wav/DCB_se2_ag4_f_01_1_part_31.wav,/juice/scr/aharris6/data_processed_coraal/txt/DCB_se2_ag4_f_01_1_part_31.txt,UM NOBODY F FURNITURE AND STUFF WAS SET OUTDOORS YOU KNOW BECAUSE PEOPLE TOOK IT IN PEOPLE CARED ABOUT PEOPLE THEN YOU KNOW IT WASN'T A SHAME FOR THAT TO HAPPEN,1,"Um, nobody f- furniture and stuff was set outdoors, you know, because people took it in. People cared about people then. You know, it wasn't a shame for that to happen.",10.164
/juice/scr/aharris6/data_processed_coraal/wav/ROC_se0_ag1_f_03_1_part_41.wav,/juice/scr/aharris6/data_processed_coraal/txt/ROC_se0_ag1_f_03_1_part_41.txt,I DIDN'T GET KISSED TIL I WAS SIXTEEN ALMOST SEVENTEEN LIKE NOT EVEN ONE KISS SO I FEEL LIKE I WAS A LATE BLOOMER IN THAT ASPECT,1,"I didn't get kissed till I was sixteen, almost [seventeen.] Like not even one kiss. So I feel like I was a late bloomer in that aspect.",6.597
/juice/scr/aharris6/data_processed_coraal/wav/ATL_se0_ag2_m_03_1_part_4.wav,/juice/scr/aharris6/data_processed_coraal/txt/ATL_se0_ag2_m_03_1_part_4.txt,REAL FUCKED UP DOWN THERE YOU FEEL ME YOU KNOW A LOT OF A LOT OF A LOT OF PEOPLE LOST THEY LIVES A LOT OF FLOODS TOOK TOOK EVERYTHING OUT YOU FEEL ME AND ALSO ONE THING I'D LIKE TO SAY IS LIKE,1,"real fucked up down there, you feel me. You know, a lot of- a lot of- a lot of people lost they lives. A lot of floods took- took everything out, you feel me. And also one thing I'd like to say is like,",10.181
/juice/scr/aharris6/data_processed_coraal/wav/DCB_se2_ag3_f_01_1_part_74.wav,/juice/scr/aharris6/data_processed_coraal/txt/DCB_se2_ag3_f_01_1_part_74.txt,FOR ME IN A SENSE THAT THEY RECOGNIZED THE THINGS THAT I HAD DONE IN THE PAST WHICH IS WHY THEY OFFERED ME THE POSITION AND IT WAS JUST CHALLENGING BECAUSE I WANTED IT BUT I WANTED HER TO GET IT AT THE SAME TIME,1,for me in a sense that they recognized the things that I had done in the past which is why they offered me the position. And it was just challenging because I wanted it but I wanted her to get it at the same time,12.367
/juice/scr/aharris6/data_processed_coraal/wav/PRV_se0_ag1_f_01_1_part_25.wav,/juice/scr/aharris6/data_processed_coraal/txt/PRV_se0_ag1_f_01_1_part_25.txt,AND UM LIKE THE DAY THE DAY LET'S SEE I THINK THE DAY AFTERWARDS UM BROWN AROUND HER HOUSE UM IT WAS ALREADY WATER,1,"And um, like the day- the day- Let's see. I think the day afterwards um, /brown/ around her house um, it was already water.",10.019
/juice/scr/aharris6/data_processed_coraal/wav/DCB_se2_ag3_f_01_1_part_43.wav,/juice/scr/aharris6/data_processed_coraal/txt/DCB_se2_ag3_f_01_1_part_43.txt,I IT'S ALMOST LIKE NEW YORK BECAUSE IT'S A LOT OF VARIETY UM AS FAR AS FOOD SO THOSE ARE MY FAVORITES BUT I'M I'M SO OPEN I'LL GO ANYWHERE,1,"I- it's almost like New York because it's a lot of variety, um, as far as food. So those are my favorites but I'm- I'm so open, I'll go anywhere. <laugh>",9.474
/juice/scr/aharris6/data_processed_coraal/wav/ROC_se0_ag1_m_03_1_part_28.wav,/juice/scr/aharris6/data_processed_coraal/txt/ROC_se0_ag1_m_03_1_part_28.txt,SO YOU KNOW AND THEN A WHOLE BUNCH OF STUFF WHOLE BUNCH OF OTHER STUFF HAPPENED THAT REALLY GOT ME LOST IN THE SAUCE I WASN'T I WAS I WAS A PERSON THAT CARED MORE ABOUT FAMILY THAN I WOULD SAY SOCIAL EXPERIENCES UM WHEN I WAS IN HIGH SCHOOL THE UPWARD BOUND IS WHAT HAD ME,1,"So, you know. And then a whole bunch of stuff- whole bunch of other stuff happened that really got me lost in the sauce. I wasn't- I was- I was a person that cared more about family, than I would say social experiences. Um, when I was in high school, the Upward Bound is what had me",20.308
/juice/scr/aharris6/data_processed_coraal/wav/ATL_se0_ag2_f_01_1_part_30.wav,/juice/scr/aharris6/data_processed_coraal/txt/ATL_se0_ag2_f_01_1_part_30.txt,I THINK IT'S A THING ABOUT LOOKS BECAUSE WITH GIRLS LIKE I KNOW WHEN I WAS LITTLE I HAD THOUSANDS OF BARBIE DOLLS BUT TO YOU THEY MIGHTA ALL LOOKED THE SAME AND TO ME THEY DIDN'T LOOK THE SAME SO I THINK THAT'S OUR OBSESSION WITH LIKE THE KARDASHIANS LIKE THEY YEAH PEOPLE MIGHT THINK LIKE THEY'RE FAKE OR WHATEVER BUT YOU KNOW,1,"I think it's a thing about looks because with girls, like, I know when I was little, I had thousands of Barbie dolls. But to you, they mighta all looked the same, and to me they didn't look the same. So I think that's our obsession with like the Kardashians like, they- yeah, people might think like they're fake or whatever. But, you know,",20.261
/juice/scr/aharris6/data_processed_coraal/wav/DCB_se2_ag4_f_04_1_part_125.wav,/juice/scr/aharris6/data_processed_coraal/txt/DCB_se2_ag4_f_04_1_part_125.txt,ALL OF THE CRIME YOU KNOW THE FEAR YOU DIDN'T HAVE ALL THAT YOU YOU YOU YOU JUST YOU JUST DIDN'T HAVE IT SO MY MEMORIES OF AND IT SOUNDS SO STRANGE BUT I HAVE TO I CAN BE HONEST ALL MY MEMORIES OF H STREET AND ALL THAT AREA IT WAS JUST NORMAL,1,"all of the crime. You know, the fear. You didn't have all that. You- you- you- you just- you just didn't have it. So my memories of- And it sounds so strange, but I have to- I can be honest. All my memories of H Street and all that area, it was just normal.",18.97
/juice/scr/aharris6/data_processed_coraal/wav/ROC_se0_ag2_f_04_1_part_14.wav,/juice/scr/aharris6/data_processed_coraal/txt/ROC_se0_ag2_f_04_1_part_14.txt,YES MY GRANDMOTHER MIGRATED HERE FROM UH FLORIDA AND GEORGIA WE ALWAYS GO BACK IF I'M LIKE GRANDMA WHAT DAY WHICH ONE YOU CAME FROM REALLY AND SO SHE WENT TO UM SHE WAS BORN IN GEORGIA SPENT SOME TIME IN FLORIDA PROBABLY GO WENT BACK TO GEORGIA THEN WENT TO NEW JERSEY WITH HER HUSBAND WHEN SHE WAS IN HER LATE TEENS AND THEN SHE CAME UP HERE AND UM SO I MY MOTHER WAS HER FIFTH CHILD IS HER FIFTH CHILD,1,"[Yes.] My grandmother migrated here from, uh, Florida and Georgia. We always go back /if I'm like/, Grandma what day, which one you came from really? And so, she went to- um, she was born in Georgia, spent some time in Florida, probably go- went back to Georgia, then went to New Jersey with her husband when she was in her late teens. And then she came up here and, um, so I- my mother was her fifth child- is her fifth child,",22.182
/juice/scr/aharris6/data_processed_coraal/wav/ROC_se0_ag1_m_03_1_part_49.wav,/juice/scr/aharris6/data_processed_coraal/txt/ROC_se0_ag1_m_03_1_part_49.txt,IT'S VERY GREAT SO IT'S A IT'S A DIFFERENT DYNAMIC FOR ME NOW I'M JUST LOOKING AT EVERYTHING DIFFERENTLY IT'S IT'S IT'S WEIRD,1,"It's very great, so, it's a- it's a different dynamic for me now. I'm just looking at everything differently. [It's- it's-] it's weird.",8.07
/juice/scr/aharris6/data_processed_coraal/wav/DCB_se1_ag2_f_01_1_part_14.wav,/juice/scr/aharris6/data_processed_coraal/txt/DCB_se1_ag2_f_01_1_part_14.txt,BECAUSE OF WHAT'S GOING ON AND MY BROTHER INCLUDED MY BROTHER HE GOT IN A LOT OF TROUBLE BEING UPTOWN HE WENT TO JAIL A COUPLE OF TIMES SO,1,[Because] of what's going on- And my brother included. My brother- He got in a lot of trouble being Uptown. He went to jail a couple of times. So.,9.089
/juice/scr/aharris6/data_processed_coraal/wav/ATL_se0_ag2_m_02_1_part_78.wav,/juice/scr/aharris6/data_processed_coraal/txt/ATL_se0_ag2_m_02_1_part_78.txt,MAN E IT'S INFESTED WITH RATS BRO I I KNOW THAT HAS NOTHING TO DO WITH THE INTERVIEW WHATSOEVER AND THAT,1,"[Man, e-] it's infested with rats, bro. I- I know that has nothing to do with the interview whatsoever, and that-",5.643
/juice/scr/aharris6/data_processed_coraal/wav/DCB_se2_ag3_m_03_1_part_86.wav,/juice/scr/aharris6/data_processed_coraal/txt/DCB_se2_ag3_m_03_1_part_86.txt,UM I HAD FOUND OUT I HAD TWO MORE SISTERS FROM MY FATHER WHEN I GOT UH WHEN I TURNED EIGHT YEARS OLD AND KIND OF SHOWED UP TO THE HOUSE ON THE FRONT DOOR LIKE HEY OPEN THE DOOR W WE YOUR SISTERS AND I'M LIKE NAH I ONLY GOT TWO SISTERS THEY'RE LIKE YES IT IS SO IT WAS KIND OF LIKE A SHOCK BUT UM THEY GREW UP IN DC ALSO,1,"Um, I had found out I had two more sisters from my father when I got uh- when I turned eight years old. /And/ kind of showed up to the house on the front door. Like, hey open the door, w- we your sisters, and I'm like, nah, I only got two sisters. They're like, yes it is, so it was kind of like a shock. But um, they grew up in DC also.",21.675
/juice/scr/aharris6/data_processed_coraal/wav/PRV_se0_ag1_f_01_1_part_106.wav,/juice/scr/aharris6/data_processed_coraal/txt/PRV_se0_ag1_f_01_1_part_106.txt,LIKE WHAT IS GOING ON LIKE THEN THE NEXT DAY WE WENT THERE AND MY MOTHER WENT BACK THERE THAT'S WHEN I TOLD YOU THEY GOT SHE GOT MY BOOK SACK AND EVERYTHING AND SHE WAS LIKE THIS IS NOT RIGHT AND THEN THAT NIGHT IT WAS ON,1,"Like what is going on? Like, then the next day, we went there, and my mother went back there- that's when I told you they got- she got my book sack and everything. And she was like, this is not right. [And then that] night it was on.",10.608
